id	whg_pid	title	ccodes	lon	lat	added	matches
amh_1103p	6600213	Vredenburg	SR			[]	
amh_806p	6600214	Vypin	IN			[]	
amh_670p	6600215	Waai	ID	128.320777	-3.565078	[]	
amh_1122p	6600216	Wacogenive rivier, post aan de	GF			[]	
amh_676p	6600217	Waeputih	ID	127.9211	-3.546146	[]	
amh_10574p	6600218	Waisama	ID	126.957308	-3.756193	[]	
amh_465p	6600219	Wajer	ID			[]	wd:Q12523826
amh_10533p	6600220	Wakenaam Island	GY	-58.436411	6.993596	[]	wd:Q25210722
amh_799p	6600221	Walawe	LK			[]	
amh_9836p	6600222	Wana 	SR	-55.8333278	5.35	[]	wd:Q34828188
amh_903p	6600223	Wancan	TW			[]	
amh_9890p	6600224	Wanicka kreek	SR	-55.3392926	5.771843385	[]	
amh_9240p	6600225	Wayamoe, kreek	SR	-54.6666722	5.8166694	[]	wd:Q34846642
amh_744p	6600226	Waynitoe	ID	128.160145	-3.705472	[]	
amh_765p	6600227	Welgelegen	ZA			[]	
amh_9903p	6600228	Welgemoedt	SR	-54.476673	5.747062	[]	
amh_501p	6600229	Weligama	LK	80.428823	5.973757	[]	wd:Q3534843
amh_431p	6600230	Wellington	ZA	19.008307	-33.642277	[]	wd:Q1534385
amh_1327p	6600231	Werinama	ID	130.181115	-3.547902	[]	
amh_1139p	6600232	West End	VG	-64.697592	18.387882	[]	
