id	title	title_source	title_uri	ccodes	matches	variants	types	aat_types	parent_name	lon	lat	geo_source	description
7973157	Mankai Chīna	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7973157	PK	tgn:7973157	Mankai Chian;Mankai Chīna;Nankai Chīna	spring	300008697	Balochistān, Pākistān, Asia, World	69.906846	31.587682	Getty TGN Jun 2017	
7973352	Miān Nar	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7973352	PK	tgn:7973352	Miān Nar;Miān Nir	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	70.453927	32.834049	Getty TGN Jun 2017	
7973961	Shinkai Mela	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7973961	PK	tgn:7973961	Shinkai Mela	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.012083	32.489586	Getty TGN Jun 2017	
7980332	Sra Salawāt	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7980332	PK	tgn:7980332	Sra Salawāt	inhabited place	300008347	Balochistān, Pākistān, Asia, World	67.816558	30.731028	Getty TGN Jun 2017	
7973963	Ahnaī Tangi Kili	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7973963	PK	tgn:7973963	Ahnai Tangi Kili;Ahnaī Tangi Kili;Anai Tanga Saidan	deserted settlement	300167671	Federally Administered Tribal Areas, Pākistān, Asia, World	70.037152	32.468303	Getty TGN Jun 2017	
7974526	Jalaie	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7974526	PK	tgn:7974526	Jalaie;Mīr Kalām	inhabited place	300008347	Balochistān, Pākistān, Asia, World	67.193782	30.968594	Getty TGN Jun 2017	
7975132	Mazabi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7975132	PK	tgn:7975132	Mazabi	inhabited place	300008347	Balochistān, Pākistān, Asia, World	67.383889	30.770278	Getty TGN Jun 2017	
7975358	Khar Kalle	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7975358	PK	tgn:7975358	Khar Kalle;Said	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.32964	33.720399	Getty TGN Jun 2017	
7975739	Tachak Band	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7975739	PK	tgn:7975739	Tachak Band	mountain	300008795	Balochistān, Pākistān, Asia, World	64.6589	25.8377	Getty TGN Jun 2017	
7975753	Karūni Tal	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7975753	PK	tgn:7975753	Karūni Tal	mountain	300008795	Balochistān, Pākistān, Asia, World	64.5589	26.4802	Getty TGN Jun 2017	
7976522	Goth Khair Muhammad	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7976522	PK	tgn:7976522	Goth Khair Muhammad	inhabited place	300008347	Balochistān, Pākistān, Asia, World	66.804779	25.269123	Getty TGN Jun 2017	
